Model,Best Params,MAE,RMSE,R2
XGBoost,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.30436711849188003,0.45983258271634797,0.8389032054191725
MLP (Keras),"{'layers': [128, 128], 'epochs': 50, 'batch_size': 64}",0.3839053393191423,0.5351505146922788,0.7818077545436619
Linear Regression,N/A,0.5272474538305955,0.5391879893334018,0.5957702326061664
Random Forest,"{'max_depth': 8, 'n_estimators': 200}",0.4011068567991272,0.5782208188948704,0.7452730675329058
Decision Tree,"{'max_depth': 10, 'min_samples_leaf': 20}",0.4238224535694903,0.6166330134927763,0.7103050252974781
